Word,Lemmatized Noun,Lemmatized Adjective,Tag
jasmine,jasmine,jasmine,n
stars,star,stars,n
islamic,islamic,islamic,a
civilization,civilization,civilization,n
networks,network,networks,n
ernst,ernst,ernst,a
bruce,bruce,bruce,n
lawrence,lawrence,lawrence,n
editors,editor,editors,n
es,e,es,a
ava,ava,ava,n
asmine,asmine,asmine,n
stars,star,stars,n
lolita,lolita,lolita,n
tehran,tehran,tehran,n
university,university,university,n
north,north,north,a
carolina,carolina,carolina,a
press,press,press,n
keshavarz,keshavarz,keshavarz,n
samp,samp,samp,n
indd,indd,indd,n
chapel,chapel,chapel,n
hill,hill,hill,n
university,university,university,n
press,press,press,n
rights,right,rights,n
bryant,bryant,bryant,a
galliard,galliard,galliard,n
keystone,keystone,keystone,n
inc,inc,inc,a
good,good,good,a
friends,friend,friends,n
riahysharifan,riahysharifan,riahysharifan,a
orange,orange,orange,n
county,county,county,n
nargis,nargis,nargis,n
virani,virani,virani,a
new,new,new,a
school,school,school,n
read,read,read,n
draft,draft,draft,n
initial,initial,initial,a
phone,phone,phone,n
conversation,conversation,conversation,n
carl,carl,carl,n
ernst,ernst,ernst,n
university,university,university,n
carolina,carolina,carolina,a
chapel,chapel,chapel,n
hill,hill,hill,n
seminal,seminal,seminal,a
shaping,shaping,shaping,n
work,work,work,n
townspeople,townspeople,townspeople,n
elephant,elephant,elephant,n
outside,outside,outside,a
place,place,place,n
animal,animal,animal,n
curious,curious,curious,a
beast,beast,beast,n
challenge,challenge,challenge,n
humanity,humanity,humanity,n
question,question,question,n
candles,candle,candles,n
introduction,introduction,introduction,n
short,short,short,a
muslim,muslim,muslim,n
middle,middle,middle,a
east,east,east,a
luxury,luxury,luxury,n
matter,matter,matter,n
life,life,life,n
death,death,death,n
old,old,old,a
narrative,narrative,narrative,a
authority,authority,authority,n
foreign,foreign,foreign,a
expert,expert,expert,a
show,show,show,n
awareness,awareness,awareness,n
power,power,power,n
personal,personal,personal,a
voice,voice,voice,n
exilic,exilic,exilic,a
literature,literature,literature,n
assurance,assurance,assurance,n
knowledge,knowledge,knowledge,n
certainty,certainty,certainty,n
eyewitness,eyewitness,eyewitness,n
accounts,account,accounts,n
specic,specic,specic,a
title,title,title,n
list,list,list,n
case,case,case,n
point,point,point,n
pride,pride,pride,n
authority,authority,authority,n
critical,critical,critical,a
wall,wall,wall,n
barriers,barrier,barriers,n
full,full,full,a
human,human,human,a
potential,potential,potential,a
crossing,crossing,crossing,n
borders,border,borders,n
outside,outside,outside,a
boxes,box,boxes,n
freedom,freedom,freedom,n
thresholds,threshold,thresholds,n
